name,createdAt,updatedAt,releases,primaryLanguage,mergedPullRequests,closedIssues,totalIssues,closedVsTotalIssues,daysSinceLastUpdate,repoAgeInDays,popularLanguage
cocos2d-x,2010-11-18,2019-09-09,0,C++,12109,3437,4654,0.739,0,3217,True
folly,2012-06-01,2019-09-08,0,C++,3,459,606,0.757,1,2656,True
AspNetCore,2014-03-11,2019-09-09,59,C#,2922,8042,9894,0.813,0,2008,True
awesome-deep-learning,2015-01-02,2019-09-09,0, ,85,11,11,1.0,0,1711,False
Perfect,2015-10-02,2019-09-09,1,Swift,74,131,177,0.74,0,1438,True
professional-programming,2015-11-07,2019-09-09,0,Shell,18,7,7,1.0,0,1402,False
kafka,2011-08-15,2019-09-09,0,Java,1922,0,0,0,0,2947,True
fabric.js,2010-06-09,2019-09-09,81,JavaScript,1297,3843,4175,0.92,0,3379,True
IQKeyboardManager,2013-08-25,2019-09-09,70,Objective-C,90,1380,1426,0.968,0,2206,False
Public-APIs,2016-01-13,2019-09-08,0, ,206,25,27,0.926,1,1335,False
realm-cocoa,2012-04-16,2019-09-08,124,Objective-C,2024,3298,3761,0.877,1,2702,False
IntelliJ-IDEA-Tutorial,2015-08-17,2019-09-09,0, ,37,64,66,0.97,0,1484,False
draggable,2017-09-27,2019-09-09,9,JavaScript,94,122,214,0.57,0,712,True
mars,2016-12-12,2019-09-09,6,C++,38,501,616,0.813,0,1001,True
libuv,2013-11-30,2019-09-09,0,C,376,961,1039,0.925,0,2109,True
hosts,2012-04-12,2019-09-09,152,Python,238,663,716,0.926,0,2706,True
webpack-dashboard,2016-08-14,2019-09-08,22,JavaScript,81,168,201,0.836,1,1121,True
angular-seed,2010-12-24,2019-09-08,0,JavaScript,10,203,212,0.958,1,3181,True
NES.css,2018-09-24,2019-09-08,5,CSS,182,117,135,0.867,1,350,False
v8,2014-09-24,2019-09-08,0,C++,0,0,0,0,1,1811,True
relay,2015-08-10,2019-09-08,49,JavaScript,101,1300,1475,0.881,1,1491,True
celery,2009-04-24,2019-09-09,1,Python,1067,3625,3912,0.927,0,3790,True
Best-App,2013-08-30,2019-09-09,0, ,48,30,62,0.484,0,2201,False
games,2012-01-05,2019-09-08,0, ,192,72,192,0.375,1,2804,False
docusaurus,2017-06-20,2019-09-09,42,JavaScript,1082,528,576,0.917,0,811,True
mustache.js,2009-10-04,2019-09-08,14,JavaScript,142,346,404,0.856,1,3627,True
lazygit,2018-05-19,2019-09-08,57,Go,188,188,268,0.701,1,478,False
Spring,2014-12-26,2019-09-09,0,Swift,60,87,217,0.401,0,1718,True
100-Days-Of-ML-Code,2018-08-05,2019-09-09,0,Jupyter Notebook,43,37,43,0.86,0,400,False
SwitchyOmega,2012-06-08,2019-09-09,51,CoffeeScript,7,1606,1848,0.869,0,2649,False
manim,2015-03-22,2019-09-09,0,Python,316,248,336,0.738,0,1632,True
amazeui,2014-08-04,2019-09-09,25,JavaScript,418,562,692,0.812,0,1862,True
BaiduExporter,2014-07-07,2019-09-08,10,JavaScript,22,606,614,0.987,1,1890,True
chromeless,2017-06-01,2019-09-07,7,TypeScript,88,160,332,0.482,2,830,True
WeChatPlugin-MacOS,2017-04-20,2019-09-08,15,Objective-C,7,423,554,0.764,1,872,False
Carbon,2012-09-08,2019-09-09,132,PHP,800,781,786,0.994,0,2557,True
TensorFlow-Course,2018-10-02,2019-09-09,0,Python,6,6,8,0.75,0,342,True
AsyncDisplayKit,2014-06-27,2019-09-07,27,Objective-C++,1662,1342,1363,0.985,2,1900,False
YYKit,2013-04-10,2019-09-09,0,Objective-C,32,235,460,0.511,0,2343,False
pytorch-tutorial,2017-03-10,2019-09-09,0,Python,21,103,139,0.741,0,913,True
http-api-design,2014-05-07,2019-09-08,0, ,35,17,45,0.378,1,1951,False
iTerm2-Color-Schemes,2011-04-01,2019-09-09,0,Shell,141,43,53,0.811,0,3083,False
hiring-without-whiteboards,2017-03-15,2019-09-08,0,JavaScript,760,0,0,0,1,908,True
Motrix,2018-12-18,2019-09-09,6,JavaScript,51,237,353,0.671,0,265,True
Carthage,2014-10-10,2019-09-08,69,Swift,894,1652,1794,0.921,1,1795,True
functional-programming-jargon,2015-02-22,2019-09-09,0, ,109,42,61,0.689,0,1660,False
material-components-web,2016-12-05,2019-09-09,1,JavaScript,2214,1863,2216,0.841,0,1008,True
fmdb,2010-07-06,2019-09-07,4,Objective-C,135,295,502,0.588,2,3352,False
go,2013-08-14,2019-09-09,0, ,43,22,41,0.537,0,2217,False
redux-thunk,2015-07-13,2019-09-09,12,JavaScript,41,165,167,0.988,0,1519,True
yii2,2012-02-13,2019-09-08,41,PHP,4173,9923,10374,0.957,1,2765,True
joi,2012-09-16,2019-09-08,0,JavaScript,331,1588,1592,0.997,1,2549,True
ML-From-Scratch,2017-02-05,2019-09-09,0,Python,8,30,39,0.769,0,946,True
amphtml,2015-09-01,2019-09-08,431,JavaScript,12232,8013,9398,0.853,1,1469,True
git-extras,2010-08-04,2019-09-09,13,Shell,391,198,284,0.697,0,3323,False
iview-admin,2017-09-15,2019-09-09,30,Vue,90,600,1130,0.531,0,724,False
API-Security-Checklist,2017-07-08,2019-09-09,0, ,83,19,28,0.679,0,793,False
Material-Animations,2015-03-08,2019-09-08,0,Java,12,27,40,0.675,1,1646,True
pwc,2018-09-02,2019-09-09,0, ,10,4,15,0.267,0,372,False
chalk,2013-08-03,2019-09-09,13,JavaScript,66,232,241,0.963,0,2228,True
blessed-contrib,2015-01-14,2019-09-08,0,JavaScript,61,52,108,0.481,1,1699,True
homemade-machine-learning,2018-11-01,2019-09-09,0,Jupyter Notebook,2,7,17,0.412,0,312,False
charts,2017-10-26,2019-09-08,3,JavaScript,47,91,162,0.562,1,683,True
MJRefresh,2014-05-23,2019-09-07,20,Objective-C,67,1089,1178,0.924,2,1935,False
incubator-weex,2017-01-06,2019-09-09,4,C++,1582,548,662,0.828,0,976,True
react-developer-roadmap,2018-06-16,2019-09-09,0,JavaScript,25,15,33,0.455,0,450,True
flatbuffers,2014-05-19,2019-09-09,16,C++,680,972,1127,0.862,0,1939,True
electronic-wechat,2016-02-18,2019-09-09,7,JavaScript,59,397,595,0.667,0,1299,True
gotty,2015-08-16,2019-09-09,16,Go,33,114,174,0.655,0,1485,False
browserify,2010-09-22,2019-09-07,12,JavaScript,214,1082,1392,0.777,2,3274,True
Qix,2014-04-20,2019-09-09,1, ,13,18,18,1.0,0,1968,False
30-seconds-of-css,2018-02-25,2019-09-09,0, ,76,47,51,0.922,0,561,False
WordPress,2011-12-01,2019-09-09,0,PHP,0,0,0,0,0,2839,True
jsdom,2010-01-19,2019-09-08,0,JavaScript,594,1354,1631,0.83,1,3520,True
loopback,2013-04-09,2019-09-09,3,JavaScript,787,2996,3202,0.936,0,2344,True
kibana,2013-01-26,2019-09-09,8,TypeScript,23761,13233,17994,0.735,0,2417,True
WaveFunctionCollapse,2016-09-30,2019-09-09,0,C#,15,29,30,0.967,0,1074,True
nuklear,2015-03-25,2019-09-09,0,C,193,444,638,0.696,0,1629,True
postgrest,2014-06-13,2019-09-09,25,Haskell,416,779,869,0.896,0,1914,False
cayley,2014-06-05,2019-09-09,13,Go,313,319,410,0.778,0,1922,False
svgo,2012-08-22,2019-09-09,32,JavaScript,188,597,840,0.711,0,2574,True
googletest,2015-07-28,2019-09-09,1,C++,546,1202,1312,0.916,0,1504,True
bootstrap-sass,2011-09-06,2019-09-09,13,Ruby,139,811,815,0.995,0,2925,True
electron-react-boilerplate,2015-05-18,2019-09-09,36,JavaScript,558,1027,1059,0.97,0,1575,True
bazel,2014-06-12,2019-09-09,72,Java,18,4929,6744,0.731,0,1915,True
sanic,2016-05-26,2019-09-08,23,Python,724,741,780,0.95,1,1201,True
Mock,2013-04-26,2019-09-09,14,JavaScript,6,123,331,0.372,0,2327,True
HarmonyOS,2019-08-09,2019-09-09,0,C,13,0,0,0,0,31,True
vim-airline,2013-06-30,2019-09-09,10,Vim script,438,1364,1384,0.986,0,2262,False
cheatsheets-ai,2017-05-24,2019-09-09,0, ,2,8,14,0.571,0,838,False
WebViewJavascriptBridge,2011-08-28,2019-09-09,0,Objective-C,77,195,241,0.809,0,2934,False
portainer,2016-05-19,2019-09-09,66,HTML,881,1544,2064,0.748,0,1208,False
Hack,2015-06-21,2019-09-08,15,Shell,58,333,423,0.787,1,1541,False
NativeBase,2016-04-15,2019-09-09,81,JavaScript,439,2175,2272,0.957,0,1242,True
dep,2016-10-07,2019-09-09,12,Go,681,1073,1323,0.811,0,1067,False
Python,2011-11-30,2019-09-09,0,Python,351,37,91,0.407,0,2840,True
immer,2017-12-29,2019-09-09,32,JavaScript,125,242,250,0.968,0,619,True
wiki,2014-02-14,2019-09-09,0, ,46,282,311,0.907,0,2033,False
stream-handbook,2012-08-26,2019-09-08,0,JavaScript,14,11,46,0.239,1,2570,True
fonts,2015-02-11,2019-09-08,0,HTML,792,498,1114,0.447,1,1671,False
popper.js,2016-03-29,2019-09-09,94,JavaScript,226,452,525,0.861,0,1259,True
openface,2015-09-16,2019-09-08,4,Lua,37,351,354,0.992,1,1454,False
symphony,2012-07-05,2019-09-09,33,Java,91,834,836,0.998,0,2622,True
store.js,2010-06-27,2019-09-05,0,JavaScript,55,147,210,0.7,4,3361,True
css-modules,2015-05-25,2019-09-08,0, ,22,214,288,0.743,1,1568,False
forever,2010-09-27,2019-09-08,0,JavaScript,71,579,860,0.673,1,3269,True
awesome-for-beginners,2015-10-24,2019-09-09,0, ,182,40,43,0.93,0,1416,False
PySnooper,2019-04-18,2019-09-09,0,Python,44,66,84,0.786,0,144,True
tomorrow-theme,2011-02-14,2019-09-08,0,CSS,131,76,154,0.494,1,3129,False
handsontable,2011-05-23,2019-09-09,166,JavaScript,388,4860,5425,0.896,0,3031,True
reinforcement-learning,2016-08-24,2019-09-09,0,Jupyter Notebook,56,53,132,0.402,0,1111,False
data,2014-03-17,2019-09-08,0,Jupyter Notebook,41,67,89,0.753,1,2002,False
best-resume-ever,2017-01-30,2019-09-09,0,Vue,125,85,107,0.794,0,952,False
node-inspector,2010-07-17,2019-09-09,0,JavaScript,118,592,814,0.727,0,3341,True
vegeta,2013-08-13,2019-09-09,59,Go,112,251,274,0.916,0,2218,False
